phase,dataset,distribution,attack,defense,malicious_ratio,ablation,final_accuracy_mean,final_accuracy_std,final_accuracy_count,best_accuracy_mean,best_accuracy_std,best_accuracy_count,final_f1_mean,final_f1_std,final_f1_count,mean_f1_mean,mean_f1_std,mean_f1_count,final_fpr_mean,final_fpr_std,final_fpr_count,mean_fpr_mean,mean_fpr_std,mean_fpr_count,mean_runtime_sec_mean,mean_runtime_sec_std,mean_runtime_sec_count,final_ledger_bytes_mean,final_ledger_bytes_std,final_ledger_bytes_count
cifar_supplement,cifar10,alpha_0.5,model_scaling,trimmed_mean,0.2,full,0.16783333333333336,0.02634546134219959,3,0.1935,0.010897247358851694,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.637074323495229,0.14670728583500722,3,33146.0,1.0,3
cifar_supplement,cifar10,alpha_0.5,model_scaling,trustfl_chain,0.2,full,0.21216666666666664,0.03034935474327804,3,0.23299999999999998,0.009367496997597586,3,0.49999999999999994,0.43301270189221924,3,0.8121164021164021,0.016634527465162693,3,0.3238095238095238,0.06598288790738582,3,0.10519841269841268,0.02017236641965959,3,1.5553188721338909,0.04076893881385807,3,36351.666666666664,44.52340208624401,3
main,fashion_mnist,alpha_0.1,gaussian_noise,cosine,0.2,full,0.13166666666666668,0.004509249752822898,3,0.19733333333333336,0.03134219732777734,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.305084302690294,0.3146234011965896,3,49725.666666666664,5.507570547285496,3
main,fashion_mnist,alpha_0.1,gaussian_noise,fedavg,0.2,full,0.22666666666666666,0.12907491364836673,3,0.3621666666666667,0.044255884731110445,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.2905455006493463,0.30274108891522755,3,49723.666666666664,1.1547005383803017,3
main,fashion_mnist,alpha_0.1,gaussian_noise,trimmed_mean,0.2,full,0.5578333333333334,0.044923082411309864,3,0.644,0.0212190951739229,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3386978122923108,0.3017761080987219,3,49726.333333333336,2.0816659994654048,3
main,fashion_mnist,alpha_0.1,gaussian_noise,trustfl_chain,0.2,full,0.7276666666666666,0.03464221894355693,3,0.7444999999999999,0.022355088906108152,3,0.8190476190476191,0.032991443953692856,3,0.8125132275132275,0.027650540033705172,3,0.13095238095238093,0.010309826235528995,3,0.11417107583774244,0.02879147557713818,3,1.4322767310672335,0.295384469598525,3,54637.0,194.5559045621592,3
main,fashion_mnist,alpha_0.1,label_flip,cosine,0.2,full,0.5285000000000001,0.025898841672939796,3,0.5676666666666667,0.02541816935448607,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3180964072545367,0.297093320387283,3,49722.333333333336,7.234178138069648,3
main,fashion_mnist,alpha_0.1,label_flip,fedavg,0.2,full,0.5415,0.05375174415774807,3,0.5963333333333333,0.03660714866434334,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3254960722393458,0.2633543160256771,3,49725.333333333336,1.5275252316509542,3
main,fashion_mnist,alpha_0.1,label_flip,trimmed_mean,0.2,full,0.5106666666666667,0.005107184482014853,3,0.5303333333333333,0.021922210959055496,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3244087590111626,0.28759811509188155,3,49725.333333333336,3.055050463303695,3
main,fashion_mnist,alpha_0.1,label_flip,trustfl_chain,0.2,full,0.5581666666666667,0.021061418122560814,3,0.5964999999999999,0.026024027359346193,3,0.7222222222222222,0.2545875386086578,3,0.43679894179894174,0.013214305575401649,3,0.08928571428571426,0.07783748113465487,3,0.2750308641975308,0.039208536623758714,3,1.437981481022305,0.31187289429782644,3,55882.333333333336,399.546409486225,3
main,fashion_mnist,alpha_0.1,model_scaling,cosine,0.2,full,0.5401666666666667,0.06401041581909414,3,0.5941666666666666,0.07235733088867595,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.2636312193340726,0.27642829353915976,3,49726.0,3.605551275463989,3
main,fashion_mnist,alpha_0.1,model_scaling,fedavg,0.2,full,0.5323333333333333,0.06174409553417503,3,0.6151666666666666,0.03781974792794543,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3096829122967188,0.2858528172062756,3,49724.666666666664,5.033222956847046,3
main,fashion_mnist,alpha_0.1,model_scaling,trimmed_mean,0.2,full,0.5928333333333333,0.06073988255942991,3,0.6105,0.03251153641401773,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3218428903155857,0.28795451458887983,3,49723.0,4.358898943540674,3
main,fashion_mnist,alpha_0.1,model_scaling,trustfl_chain,0.2,full,0.6416666666666667,0.050824042866868896,3,0.6856666666666666,0.026703620228975225,3,0.8666666666666667,0.11547005383792512,3,0.8015873015873017,0.012443624446582991,3,0.041666666666666664,0.07216878364870323,3,0.11470017636684297,0.00694535561335697,3,1.2859248028861152,0.327367850123128,3,55287.333333333336,224.25952228017826,3
main,fashion_mnist,alpha_0.1,sign_flip,cosine,0.2,full,0.47433333333333333,0.018909873963972704,3,0.5381666666666667,0.0422088063481228,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.303283805317349,0.2877823423652515,3,49725.666666666664,1.527525231652145,3
main,fashion_mnist,alpha_0.1,sign_flip,fedavg,0.2,full,0.4928333333333333,0.06394203103853785,3,0.5476666666666666,0.03288743427714198,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3048834694756402,0.29299944254372773,3,49726.333333333336,3.5118845842832966,3
main,fashion_mnist,alpha_0.1,sign_flip,trimmed_mean,0.2,full,0.44816666666666666,0.033560889936551645,3,0.48533333333333334,0.039516874032915726,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3256932629479303,0.2905886006684232,3,49726.333333333336,2.8867513459476037,3
main,fashion_mnist,alpha_0.1,sign_flip,trustfl_chain,0.2,full,0.5038333333333334,0.04411443452355858,3,0.547,0.0040926763859362,3,0.47301587301587306,0.28417575177821747,3,0.41879188712522053,0.10088093657485973,3,0.2916666666666667,0.2602082499332666,3,0.28733245149911807,0.039811128372054326,3,1.4306701289282906,0.3196207308568427,3,56192.333333333336,346.98895275402157,3
main,fashion_mnist,alpha_0.5,gaussian_noise,cosine,0.2,full,0.09300000000000001,0.006763874629234347,3,0.2678333333333333,0.04542668085314329,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.4029954936769273,0.3887458256622352,3,49725.333333333336,3.7859388971995416,3
main,fashion_mnist,alpha_0.5,gaussian_noise,fedavg,0.2,full,0.2305,0.08227849050632859,3,0.4835,0.06349803146555016,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3026687701543171,0.28546880787367485,3,49724.333333333336,6.027713773341608,3
main,fashion_mnist,alpha_0.5,gaussian_noise,history_cosine,0.2,full,0.10016666666666667,0.006448514040717701,3,0.164,0.020463381929681123,3,0.0,0.0,3,0.0,0.0,3,0.6071428571428571,0.030929478706587122,3,0.613994708994709,0.06867543343693097,3,1.2571970780690511,0.03531326832796342,3,58686.666666666664,146.138062575542,3
main,fashion_mnist,alpha_0.5,gaussian_noise,trimmed_mean,0.2,full,0.7198333333333333,0.013156113914577265,3,0.7273333333333333,0.022816295346382007,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3563537385728626,0.28601086014047256,3,49724.333333333336,0.5773502691885756,3
main,fashion_mnist,alpha_0.5,gaussian_noise,trustfl_chain,0.2,full,0.7815,0.022516660498395395,3,0.7869999999999999,0.01532155344604454,3,0.9333333333333332,0.11547005383792512,3,0.8024074074074075,0.0036233729837853025,3,0.041666666666666664,0.07216878364870323,3,0.11127425044091706,0.0075539910332614105,3,1.448887422349718,0.2981414714864739,3,54618.333333333336,281.8374235855362,3
main,fashion_mnist,alpha_0.5,label_flip,cosine,0.2,full,0.6551666666666667,0.04508972536325023,3,0.6811666666666666,0.046643148835958034,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3653052700890436,0.3032905540195744,3,49725.0,5.196152422706632,3
